CPU Energy,CPU Model,Device ID,Duration (s),Energy (kWh),GPU Energy,GPU Model,Log Level,Measure Power Secs,Measurement Type,OS,RAM,RAM Energy,Run ID,Run Number,Script,Total Energy Consumed,Tracking Mode
3.877856019470427e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,3.2855472564697266,4.01021477757878e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.3235875810835294e-06,824b99bb3ff366a65ecbbc673f30192ed4fbac8b5c14fc7175b2024b7145a833,1,ada_boost_iris.py,4.01021477757878e-05,machine
3.2387491729524395e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.744173288345337,3.349283106022755e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.1053393307031455e-06,9faa48419be31211fe106087c2ab0de17dccd62952b44339142c18298bea792c,1,decision_tree_wine.py,3.349283106022755e-05,machine
3.370906081464555e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.8561408519744873,3.485951801603133e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.1504572013857722e-06,60f940a8f340396f7e29fabd70f3d6ce64c7c39cbc8fb0526fa71e6d3e5b7837,1,k_means_clustering_iris.py,3.485951801603133e-05,machine
3.206449498732885e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.71681547164917,3.3158817808573916e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.0943228212450629e-06,805b314be16865b9ba35483fceef3e09e688d37e7cff8fd229e9b20952e1a568,1,linear_regression_diabetes.py,3.3158817808573916e-05,machine
5.536904136339824e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,4.690858364105225,5.725934323656759e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.8903018731693543e-06,a19adaa6b0a52e01c228b660c3cdf8bd4b7bece0cb00f693d5a0b1b6d04aee80,1,logistic_regression_breast_cancer.py,5.725934323656759e-05,machine
3.546019544204076e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,3.0044527053833012,3.6670385905090936e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.2101904630501773e-06,34da61d5998774ed9ed2a5dc0bff8dad69c2c5a8a6d4b28618048608e8d351f9,1,naive_bayes_digits.py,3.6670385905090936e-05,machine
4.039750695228577e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,3.4226872920989986,4.177643972642765e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.3789327741418826e-06,e3f7f5702747fef464d80751710910b4b9c474e8bf1dce4ec14c0af25acd90cf,1,neural_network_wine.py,4.177643972642765e-05,machine
3.2495031588607374e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.75329065322876,3.3603437875858365e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.1084062872510003e-06,682560b21a9c82519cbb99c35e71cffcc602e510ac95a4230b5021eeaec290f6,1,pca_breast_cancer.py,3.3603437875858365e-05,machine
5.030850668748221e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,4.26220440864563,5.202594188422666e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.7174351967444558e-06,70cf5951d105d8b560c291cb94367da9b505d83bb1a38441af1c963539a4aa67,1,random_forest_digits.py,5.202594188422666e-05,machine
3.1612431837452775e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.678523063659668,3.2691278843256674e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.0788470058038987e-06,67c3a5a23d69e50028e9f853ebaffce8cbe7ef0e8431a0bb959678706d126da3,1,support_vector_iris.py,3.2691278843256674e-05,machine
3.885362164841758e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,3.2919867038726807,4.017932423934541e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.325702590927828e-06,824b99bb3ff366a65ecbbc673f30192ed4fbac8b5c14fc7175b2024b7145a833,2,ada_boost_iris.py,4.017932423934541e-05,machine
3.896855281458962e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,3.3016083240509033,4.029869634936959e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.3301435347799877e-06,824b99bb3ff366a65ecbbc673f30192ed4fbac8b5c14fc7175b2024b7145a833,3,ada_boost_iris.py,4.029869634936959e-05,machine
3.2346504595544613e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.740701675415039,3.345027016664997e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.1037655711053655e-06,9faa48419be31211fe106087c2ab0de17dccd62952b44339142c18298bea792c,2,decision_tree_wine.py,3.345027016664997e-05,machine
3.224748472372691e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.7323901653289795,3.334757075452406e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.1000860307971529e-06,9faa48419be31211fe106087c2ab0de17dccd62952b44339142c18298bea792c,3,decision_tree_wine.py,3.334757075452406e-05,machine
3.388256794876522e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.8707959651947017,3.503898005650443e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.156412107739205e-06,60f940a8f340396f7e29fabd70f3d6ce64c7c39cbc8fb0526fa71e6d3e5b7837,2,k_means_clustering_iris.py,3.503898005650443e-05,machine
3.3664659493499336e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.852445125579834,3.481350621102548e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.1488467175261498e-06,60f940a8f340396f7e29fabd70f3d6ce64c7c39cbc8fb0526fa71e6d3e5b7837,3,k_means_clustering_iris.py,3.481350621102548e-05,machine
3.2154277132617104e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.724402904510498,3.3251657681276156e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.0973805486590514e-06,805b314be16865b9ba35483fceef3e09e688d37e7cff8fd229e9b20952e1a568,2,linear_regression_diabetes.py,3.3251657681276156e-05,machine
3.207416335741679e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.7177050113677983,3.316824843232799e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.0940850749112007e-06,805b314be16865b9ba35483fceef3e09e688d37e7cff8fd229e9b20952e1a568,3,linear_regression_diabetes.py,3.316824843232799e-05,machine
5.532538311349022e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,4.687134265899658,5.721417958033449e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.8887964668442692e-06,a19adaa6b0a52e01c228b660c3cdf8bd4b7bece0cb00f693d5a0b1b6d04aee80,2,logistic_regression_breast_cancer.py,5.721417958033449e-05,machine
5.549395895666545e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,4.701413631439209,5.7388477678780286e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.8945187221148297e-06,a19adaa6b0a52e01c228b660c3cdf8bd4b7bece0cb00f693d5a0b1b6d04aee80,3,logistic_regression_breast_cancer.py,5.7388477678780286e-05,machine
3.528625484969881e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.9896967411041264,3.649056837334936e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.20431352365055e-06,34da61d5998774ed9ed2a5dc0bff8dad69c2c5a8a6d4b28618048608e8d351f9,2,naive_bayes_digits.py,3.649056837334936e-05,machine
