Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V)
0.0000,410.491,2049.1711,4.992
0.0200,410.979,2051.6072,4.992
0.0400,410.491,2049.1711,4.992
0.0600,410.369,2048.562,4.992
0.0800,410.247,2048.7734,4.994
0.1000,411.833,2055.8704,4.992
0.1200,408.905,2041.2538,4.992
0.1400,419.03,2091.7979,4.992
0.1600,409.637,2044.908,4.992
0.1800,412.687,2060.959,4.994
0.2000,409.027,2041.8629,4.992
0.2200,412.809,2062.3936,4.996
0.2400,535.53,2673.366,4.992
0.2600,533.456,2660.8784,4.988
0.2800,533.7,2665.2979,4.994
0.3000,533.578,2662.5542,4.99
0.3200,533.7,2666.3652,4.996
0.3400,430.497,2150.7629,4.996
0.3600,409.264,2043.8644,4.994
0.3800,410.24,2047.9181,4.992
0.4000,410.605,2050.5615,4.994
0.4200,409.874,2046.0911,4.992
0.4400,411.581,2054.6123,4.992
0.4600,409.752,2046.3015,4.994
0.4800,410.605,2049.7402,4.992
0.5000,408.898,2041.2189,4.992
0.5200,411.093,2052.1763,4.992
0.5400,409.874,2046.9106,4.994
0.5600,411.581,2055.4355,4.994
0.5800,410.483,2049.9521,4.994
0.6000,415.607,2073.8789,4.99
0.6200,409.63,2044.873,4.992
0.6400,413.167,2062.5298,4.992
0.6600,412.923,2061.3118,4.992
0.6800,414.509,2069.229,4.992
0.7000,409.874,2046.0911,4.992
0.7200,412.069,2057.8726,4.994
0.7400,408.654,2040.0007,4.992
0.7600,411.947,2055.6155,4.99
0.7800,409.874,2046.0911,4.992
0.8000,414.021,2067.6208,4.994
0.8200,408.654,2040.0007,4.992
0.8400,412.069,2057.8726,4.994
0.8600,409.378,2044.4337,4.994
0.8800,411.33,2053.3594,4.992
0.9000,409.622,2044.8331,4.992
0.9200,420.6,2101.3176,4.996
0.9400,409.134,2043.2152,4.994
0.9600,410.11,2048.0894,4.994
0.9800,410.354,2049.3079,4.994
1.0000,411.208,2053.5728,4.994
1.0200,411.33,2052.5366,4.99
1.0400,409.744,2045.442,4.992
1.0600,410.842,2051.7449,4.994
1.0800,409.622,2045.6523,4.994
1.1000,412.557,2060.3096,4.994
1.1200,408.776,2040.6099,4.992
1.1400,413.899,2066.1838,4.992
1.1600,410.361,2049.3428,4.994
1.1800,414.631,2069.8381,4.992
1.2000,409.874,2046.0911,4.992
1.2200,412.191,2057.6575,4.992
1.2400,411.337,2053.3943,4.992
1.2600,413.167,2063.356,4.994
1.2800,409.752,2046.3015,4.994
1.3000,413.289,2065.6184,4.998
1.3200,408.898,2042.0366,4.994
1.3400,413.289,2063.9653,4.994
1.3600,409.134,2042.397,4.992
1.3800,412.671,2060.8789,4.994
1.4000,408.89,2041.9967,4.994
1.4200,411.818,2056.6191,4.994
1.4400,409.134,2040.7604,4.988
1.4600,412.062,2057.0137,4.992
1.4800,408.158,2036.7083,4.99
1.5000,410.11,2048.0894,4.994
1.5200,409.012,2041.788,4.992
1.5400,411.086,2052.9634,4.994
1.5600,408.402,2038.7429,4.992
1.5800,546,2721.2642,4.984
1.6000,455.366,2275.0085,4.996
1.6200,410.232,2048.6985,4.994
1.6400,413.525,2065.1438,4.994
1.6600,410.232,2047.8782,4.992
1.6800,413.159,2063.3159,4.994
1.7000,411.33,2053.3594,4.992
1.7200,411.94,2056.4045,4.992
1.7400,409.5,2045.043,4.994
1.7600,411.818,2056.6191,4.994
1.7800,409.866,2045.2312,4.99
1.8000,412.671,2060.0537,4.992
1.8200,408.524,2040.1688,4.994
1.8400,412.062,2058.6616,4.996
1.8600,411.078,2051.2791,4.99
1.8800,410.468,2049.0562,4.992
