Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V)
0.0000,411.047,2052.7688,4.994
0.2000,419.959,2097.2754,4.994
0.4000,410.559,2050.3315,4.994
0.6000,411.779,2057.2478,4.996
0.8000,410.925,2051.3376,4.992
1.0000,413.234,2062.8643,4.992
1.2000,418.845,2091.7119,4.994
1.4000,413.707,2066.8801,4.996
1.6000,413.219,2063.6157,4.994
1.8000,412.609,2060.5693,4.994
2.0000,411.503,2055.0459,4.994
2.2000,419.797,2098.1455,4.998
2.4000,411.244,2052.9299,4.992
2.6000,413.317,2064.9316,4.996
2.8000,411.488,2054.1482,4.992
3.0000,410.139,2048.2341,4.994
3.2000,425.749,2125.3391,4.992
3.4000,409.879,2046.116,4.992
3.6000,413.66,2064.1633,4.99
3.8000,410.123,2048.1541,4.994
4.0000,413.896,2066.9966,4.994
4.2000,408.538,2041.0558,4.996
4.4000,411.701,2055.2114,4.992
4.6000,412.424,2059.6455,4.994
4.8000,412.303,2059.0413,4.994
5.0000,412.912,2062.9082,4.996
5.2000,412.303,2059.0413,4.994
5.4000,414.01,2067.5659,4.994
5.6000,412.303,2058.2166,4.992
5.8000,418.156,2089.1074,4.996
6.0000,439.375,2195.1174,4.996
6.2000,437.31,2182.1768,4.99
6.4000,441.578,2204.3574,4.992
6.6000,412.31,2057.4268,4.99
6.8000,410.603,2050.5513,4.994
7.0000,409.505,2044.249,4.992
7.2000,408.652,2039.1735,4.99
7.4000,412.31,2059.9006,4.996
7.6000,412.188,2058.4668,4.994
7.8000,549.381,2741.4109,4.99
8.0000,417.92,2087.9282,4.996
8.2000,413.286,2063.9504,4.994
8.4000,411.457,2053.9934,4.992
8.6000,410.481,2050.7629,4.996
8.8000,410.359,2049.3328,4.994
9.0000,744.866,3715.3916,4.988
9.2000,740.598,3698.5464,4.994
9.4000,734.013,3670.0649,5
9.6000,729.88,3645.0208,4.994
9.8000,688.661,3443.3052,5
10.0000,961.241,4800.4375,4.994
10.2000,726.832,3631.2524,4.996
10.4000,739.271,3691.9194,4.994
10.6000,742.821,3711.1335,4.996
10.8000,766.236,3825.0503,4.992
11.0000,746.968,3728.8645,4.992
11.2000,771.466,3852.7012,4.994
11.4000,756.222,3778.085,4.996
11.6000,758.525,3786.5569,4.992
11.8000,758.525,3788.074,4.994
12.0000,752.427,3753.1057,4.988
12.2000,665.111,3326.8853,5.002
12.4000,546.577,2733.9783,5.002
12.6000,412.074,2057.8975,4.994
12.8000,409.635,2044.8981,4.992
13.0000,409.399,2042.9009,4.99
13.2000,410.497,2049.2012,4.992
13.4000,412.074,2057.8975,4.994
13.6000,414.018,2068.4338,4.996
13.8000,412.554,2059.4695,4.992
14.0000,412.066,2057.8577,4.994
14.2000,412.31,2058.2515,4.992
14.4000,574.503,2863.323,4.984
14.6000,733.891,3663.584,4.992
14.8000,739.257,3694.8066,4.998
15.0000,739.866,3696.3706,4.996
15.2000,743.403,3714.0413,4.996
15.4000,739.486,3697.4302,5
15.6000,736.926,3678.7349,4.992
15.8000,746.194,3726.4927,4.994
16.0000,731.072,3652.4358,4.996
16.2000,750.828,3751.1365,4.996
16.4000,744.852,3718.3013,4.992
16.6000,734.135,3667.7383,4.996
16.8000,730.232,3645.3181,4.992
17.0000,729.988,3647.0198,4.996
17.2000,726.804,3631.1128,4.996
17.4000,689.366,3444.0725,4.996
17.6000,657.77,3287.5347,4.998
17.8000,539.971,2695.5354,4.992
18.0000,412.051,2058.6067,4.996
18.2000,413.392,2065.3064,4.996
18.4000,412.668,2061.6892,4.996
18.6000,410.839,2050.0864,4.99
18.8000,412.546,2060.2546,4.994
19.0000,411.449,2053.1304,4.99
19.2000,410.969,2051.5574,4.992
19.4000,409.871,2046.076,4.992
