Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V)
0.0000,405.368,2023.5972,4.992
0.2000,405.604,2024.7753,4.992
0.4000,406.336,2028.4293,4.992
0.6000,404.506,2019.2941,4.992
0.8000,408.028,2037.6919,4.994
1.0000,408.272,2038.9104,4.994
1.2000,408.63,2040.6982,4.994
1.4000,528.048,2633.9033,4.988
1.6000,405.573,2023.8092,4.99
1.8000,405.078,2022.1494,4.992
2.0000,406.183,2028.4779,4.994
2.2000,407.151,2031.6833,4.99
2.4000,407.029,2031.8888,4.992
2.6000,408.859,2041.0242,4.992
2.8000,407.022,2031.8539,4.992
3.0000,412.747,2059.6074,4.99
3.2000,403.835,2015.1365,4.99
3.4000,413.227,2062.8291,4.992
3.6000,406.64,2029.1335,4.99
3.8000,406.267,2028.0848,4.992
4.0000,408.096,2037.2153,4.992
4.2000,408.332,2038.3934,4.992
4.4000,412.235,2057.8772,4.992
4.6000,408.332,2038.3934,4.992
4.8000,408.325,2038.3585,4.992
5.0000,408.691,2040.1855,4.992
5.2000,409.796,2044.8818,4.99
5.4000,407.845,2035.1465,4.99
5.6000,407.357,2032.7113,4.99
5.8000,419.065,2091.1343,4.99
6.0000,406.145,2026.6635,4.99
6.2000,412.731,2060.353,4.992
6.4000,405.413,2022.2,4.988
6.6000,406.998,2030.9198,4.99
6.8000,406.511,2029.3029,4.992
7.0000,451.272,2251.8472,4.99
7.2000,415.902,2075.3508,4.99
7.4000,407.974,2035.7902,4.99
7.6000,409.194,2042.6965,4.992
7.8000,407.845,2035.9623,4.992
8.0000,406.633,2029.912,4.992
8.2000,405.177,2021.8331,4.99
8.4000,404.933,2022.2355,4.994
8.6000,406.396,2028.7289,4.992
8.8000,404.689,2020.2075,4.992
9.0000,405.062,2022.0696,4.992
9.2000,408.234,2037.9042,4.992
9.4000,407.502,2035.0651,4.994
9.6000,406.892,2031.205,4.992
9.8000,406.526,2030.1908,4.994
10.0000,405.794,2024.912,4.99
10.2000,412.868,2061.8628,4.994
10.4000,407.868,2036.0771,4.992
10.6000,407.624,2035.6742,4.994
10.8000,408.843,2041.7618,4.994
11.0000,407.258,2033.032,4.992
11.2000,405.916,2025.5206,4.99
11.4000,404.453,2019.0294,4.992
11.6000,406.282,2028.9724,4.994
11.8000,406.038,2027.7538,4.994
12.0000,405.314,2023.3275,4.992
12.2000,405.802,2026.5752,4.994
12.4000,406.9,2031.2448,4.992
12.6000,408.973,2041.5933,4.992
12.8000,447.516,2233.1047,4.99
13.0000,412.388,2057.8159,4.99
13.2000,414.21,2066.9077,4.99
13.4000,405.428,2023.8966,4.992
13.6000,407.128,2032.3829,4.992
13.8000,407.738,2035.4282,4.992
14.0000,408.836,2041.7269,4.994
14.2000,409.811,2045.7766,4.992
14.4000,406.64,2029.947,4.992
14.6000,413.722,2066.1277,4.994
14.8000,407.136,2033.2371,4.994
15.0000,421.894,2105.251,4.99
15.2000,703.523,3502.1377,4.978
15.4000,408.843,2040.9442,4.992
15.6000,407.258,2033.032,4.992
15.8000,406.404,2027.9558,4.99
16.0000,405.428,2023.0857,4.99
16.2000,406.404,2028.7688,4.992
16.4000,406.77,2031.4093,4.994
16.6000,405.916,2024.7089,4.988
16.8000,407.746,2036.2836,4.994
17.0000,408.721,2041.1527,4.994
17.2000,407.014,2032.6279,4.994
17.4000,405.184,2021.868,4.99
17.6000,532.399,2656.6709,4.99
17.8000,409.087,2042.9805,4.994
18.0000,407.258,2033.8464,4.994
18.2000,405.55,2024.5056,4.992
18.4000,417.015,2082.573,4.994
18.6000,410.551,2050.2917,4.994
18.8000,408.721,2040.3353,4.992
19.0000,407.624,2034.0436,4.99
19.2000,405.306,2022.4768,4.99
19.4000,405.672,2025.1146,4.992
19.6000,406.282,2028.1598,4.992
19.8000,421.406,2102.8159,4.99
20.0000,406.038,2026.1295,4.99
20.2000,746.837,3723.7292,4.986
20.4000,743.544,3711.7717,4.992
20.6000,1019.182,5087.7568,4.992
20.8000,737.553,3680.3892,4.99
21.0000,764.63,3817.033,4.992
21.2000,746.945,3728.7495,4.992
21.4000,640.953,3200.9192,4.994
21.6000,732.688,3666.3708,5.004
21.8000,655.601,3275.3826,4.996
22.0000,719.501,3593.1877,4.994
22.2000,767.802,3826.7253,4.984
22.4000,738.285,3685.5186,4.992
22.6000,760.971,3797.2451,4.99
22.8000,736.333,3674.3015,4.99
23.0000,702.914,3508.9468,4.992
23.2000,735.236,3670.2983,4.992
23.4000,677.788,3383.5178,4.992
23.6000,708.768,3536.7522,4.99
23.8000,638.391,3185.5708,4.99
24.0000,644.6,3220.4214,4.996
24.2000,654.845,3267.6763,4.99
24.4000,643.258,3215.0037,4.998
24.6000,724.136,3614.887,4.992
24.8000,717.672,3581.1831,4.99
25.0000,718.512,3586.812,4.992
25.2000,722.537,3606.9048,4.992
25.4000,771.568,3848.5811,4.988
25.6000,410.185,2047.6436,4.992
25.8000,409.453,2043.9894,4.992
26.0000,412.259,2057.9971,4.992
26.2000,409.583,2043.8191,4.99
26.4000,413.364,2062.6863,4.99
26.6000,408.363,2039.3649,4.994
26.8000,408.478,2038.3051,4.99
27.0000,408.478,2039.1222,4.992
27.2000,414.454,2068.9543,4.992
27.4000,407.258,2032.2173,4.99
27.6000,741.212,3698.6477,4.99
27.8000,730.235,3648.2539,4.996
28.0000,732.674,3657.5088,4.992
28.2000,746.091,3722.9939,4.99
28.4000,894.651,4473.2549,5
28.6000,719.366,3592.5139,4.994
28.8000,740.71,3696.1428,4.99
29.0000,737.051,3676.4104,4.988
29.2000,739.978,3693.9705,4.992
29.4000,702.168,3502.4141,4.988
29.6000,728.391,3631.7576,4.986
29.8000,722.659,3606.0681,4.99
30.0000,709.012,3540.8059,4.994
30.2000,714.013,3562.9248,4.99
30.4000,736.211,3676.6377,4.994
30.6000,687.558,3433.6646,4.994
30.8000,406.9,2032.0586,4.994
31.0000,407.266,2032.2572,4.99
31.2000,412.632,2059.0334,4.99
31.4000,411.779,2056.4243,4.994
31.6000,410.429,2049.6824,4.994
31.8000,409.331,2042.5615,4.99
32.0000,409.217,2041.9928,4.99
32.2000,408.607,2040.5834,4.994
32.4000,581.442,2900.2327,4.988
32.6000,411.169,2053.3779,4.994
32.8000,728.907,3635.7881,4.988
33.0000,1015.786,5066.7407,4.988
33.2000,739.763,3689.9377,4.988
33.4000,749.52,3738.6057,4.988
33.6000,1015.927,5069.4756,4.99
33.8000,728.677,3636.0981,4.99
34.0000,736.849,3678.3503,4.992
34.2000,742.826,3708.1875,4.992
34.4000,755.633,3769.0974,4.988
34.6000,723.066,3609.5454,4.992
34.8000,730.263,3644.0122,4.99
35.0000,725.858,3623.4832,4.992
35.2000,725.858,3620.5796,4.988
35.4000,724.882,3617.1611,4.99
35.6000,715.124,3571.3293,4.994
35.8000,681.46,3401.8484,4.992
36.0000,739.763,3694.3765,4.994
36.2000,1002.247,4993.1943,4.982
